analysis_label,metric,feature_set_a,feature_set_b,n_pairs,mean_difference_a_minus_b,median_difference_a_minus_b,sd_difference,ci95_low,ci95_high,wilcoxon_statistic,wilcoxon_method,p_unadjusted,negative_difference_count,positive_difference_count,ties,p_holm,reject_holm_0_05
ANN,r2,A_all_21,B_no_component_costs,10,0.23016405015331673,0.13118776527489873,0.18944926448144817,0.1327449263874393,0.3505504620966437,0.0,exact,0.001953125,0,10,0,0.005859375,True
ANN,r2,A_all_21,C_physical_quantity,10,0.15494005578450054,0.14964093143007196,0.06904304644709557,0.11747839402254079,0.19711754831073572,0.0,exact,0.001953125,0,10,0,0.005859375,True
ANN,r2,B_no_component_costs,C_physical_quantity,10,-0.07522399436881622,0.0025992234760714994,0.16403409396405463,-0.1779940307495668,0.010883017033768394,21.0,exact,0.556640625,5,5,0,0.556640625,False
ANN,mape_pct,A_all_21,B_no_component_costs,10,-19.014102424212115,-14.981159685926198,12.23544602008455,-27.105938587714945,-13.210385907642712,0.0,exact,0.001953125,10,0,0,0.005859375,True
ANN,mape_pct,A_all_21,C_physical_quantity,10,-15.899339151801968,-14.892100279965977,4.682131623163367,-18.880940961603738,-13.364873484054304,0.0,exact,0.001953125,10,0,0,0.005859375,True
ANN,mape_pct,B_no_component_costs,C_physical_quantity,10,3.1147632724101464,1.3524905254306994,8.535964958630357,-1.27960507637976,8.521532778614366,15.0,exact,0.232421875,3,7,0,0.232421875,False
ANN,rmse,A_all_21,B_no_component_costs,10,-29627.529976327285,-27271.601521445427,14909.150797903383,-38882.61559239228,-21305.598466535306,0.0,exact,0.001953125,10,0,0,0.005859375,True
ANN,rmse,A_all_21,C_physical_quantity,10,-24093.811629669355,-22307.886332296854,10454.18167740651,-30492.152414603173,-18301.71548735096,0.0,exact,0.001953125,10,0,0,0.005859375,True
ANN,rmse,B_no_component_costs,C_physical_quantity,10,5533.718346657933,-666.8464698225071,13540.89063435086,-1845.2994739530527,13972.807048208535,21.0,exact,0.556640625,5,5,0,0.556640625,False
ANN,rmse_q3,A_all_21,B_no_component_costs,10,-43676.380768728355,-45108.119353945156,25014.17451184249,-58585.63236663746,-29540.65639337772,0.0,exact,0.001953125,10,0,0,0.005859375,True
ANN,rmse_q3,A_all_21,C_physical_quantity,10,-39778.79590772564,-38586.75830163255,21142.530477620894,-52428.54434965913,-27666.983043641918,0.0,exact,0.001953125,10,0,0,0.005859375,True
ANN,rmse_q3,B_no_component_costs,C_physical_quantity,10,3897.584861002714,-1630.0786694174749,21547.263086461695,-7637.91384188119,17929.897577480773,25.0,exact,0.845703125,5,5,0,0.845703125,False
ANN,rmse_q3_iqr2,A_all_21,B_no_component_costs,10,-51907.09909649735,-56642.82077568091,28394.002681094807,-68419.50017337277,-35909.94967387409,0.0,exact,0.001953125,10,0,0,0.005859375,True
ANN,rmse_q3_iqr2,A_all_21,C_physical_quantity,10,-48422.095500878364,-44896.40108889641,25742.038528585836,-63634.34349836096,-33663.88162733823,0.0,exact,0.001953125,10,0,0,0.005859375,True
ANN,rmse_q3_iqr2,B_no_component_costs,C_physical_quantity,10,3485.0035956189918,-2460.673355117069,25706.24671172875,-10123.973238510665,19931.425158760794,25.0,exact,0.845703125,5,5,0,0.845703125,False
CatBoost,r2,A_all_21,B_no_component_costs,10,0.07894632307450775,0.08034064210376435,0.030062858536023498,0.06200947393712844,0.09742823690433654,0.0,exact,0.001953125,0,10,0,0.005859375,True
CatBoost,r2,A_all_21,C_physical_quantity,10,0.07548576486913151,0.07586171892855498,0.031535617723366584,0.057874087752879375,0.09437303951062914,0.0,exact,0.001953125,0,10,0,0.005859375,True
CatBoost,r2,B_no_component_costs,C_physical_quantity,10,-0.0034605582053762298,-0.005287454225705257,0.01900177475428353,-0.01442332821409603,0.00825663457241376,17.0,exact,0.322265625,6,4,0,0.322265625,False
CatBoost,mape_pct,A_all_21,B_no_component_costs,10,-12.556751498100105,-12.561627464926456,4.176224181350817,-15.180225851268801,-10.219969693517863,0.0,exact,0.001953125,10,0,0,0.005859375,True
CatBoost,mape_pct,A_all_21,C_physical_quantity,10,-12.304200636431393,-12.60115159684624,3.513680271505106,-14.47447387974038,-10.272670960292672,0.0,exact,0.001953125,10,0,0,0.005859375,True
CatBoost,mape_pct,B_no_component_costs,C_physical_quantity,10,0.2525508616687141,-0.04997560184638061,1.5702447476739607,-0.6071476693786549,1.21739430627579,27.0,exact,1.0,5,5,0,1.0,False
CatBoost,rmse,A_all_21,B_no_component_costs,10,-10754.891139254682,-10995.79830356468,3613.9154288485784,-12833.504541060662,-8581.396717212932,0.0,exact,0.001953125,10,0,0,0.005859375,True
