feature_set,metric,contrast_family,conditioning_level,level_a,level_b,n_pairs,mean_difference_a_minus_b,median_difference_a_minus_b,sd_difference,ci95_low,ci95_high,wilcoxon_statistic,wilcoxon_method,p_unadjusted,negative_difference_count,positive_difference_count,ties,p_holm,reject_holm_0_05
A_all_21,r2,strategy_within_cutoff,Mean,Conservative,Balanced,10,-0.07594789114077902,-0.06170160685596543,0.044115847491610474,-0.10388892410185877,-0.05122366973354961,0.0,exact,0.001953125,10,0,0,0.017578125,True
A_all_21,r2,strategy_within_cutoff,Mean,Conservative,Aggressive,10,-0.07769197731201645,-0.08549163285289896,0.04940870303190477,-0.10681135946801013,-0.04959200537208622,0.0,exact,0.001953125,10,0,0,0.017578125,True
A_all_21,r2,strategy_within_cutoff,Mean,Balanced,Aggressive,10,-0.0017440861712374356,-0.003049537593824203,0.015477304836229958,-0.010981344228149895,0.006936591874573391,25.0,exact,0.845703125,6,4,0,1.0,False
A_all_21,r2,strategy_within_cutoff,Q3,Conservative,Balanced,10,-0.05287635253825042,-0.054657519015496425,0.03548724799899316,-0.07399784262295593,-0.03301635827326163,0.0,exact,0.001953125,10,0,0,0.017578125,True
A_all_21,r2,strategy_within_cutoff,Q3,Conservative,Aggressive,10,0.14227036571520218,0.15871937322106694,0.2047505304588708,0.023166148946173096,0.26386278977293454,10.0,exact,0.083984375,4,6,0,0.251953125,False
A_all_21,r2,strategy_within_cutoff,Q3,Balanced,Aggressive,10,0.19514671825345262,0.19635083511071572,0.2087469896054066,0.075085777597316,0.32016559518256854,6.0,exact,0.02734375,2,8,0,0.1640625,False
A_all_21,r2,strategy_within_cutoff,Q3+IQR/2,Conservative,Balanced,10,-0.005444899838620354,-0.019688180626661833,0.05222652726962536,-0.036887420940496386,0.024353672737202046,27.0,exact,1.0,6,4,0,1.0,False
A_all_21,r2,strategy_within_cutoff,Q3+IQR/2,Conservative,Aggressive,10,0.10345297552078674,0.07892196924717615,0.1280534151303239,0.034094117951210215,0.18493587234724113,6.0,exact,0.02734375,3,7,0,0.1640625,False
A_all_21,r2,strategy_within_cutoff,Q3+IQR/2,Balanced,Aggressive,10,0.10889787535940709,0.10492168103423483,0.13747189336010748,0.03505531756426299,0.19363772475536048,7.0,exact,0.037109375,2,8,0,0.1640625,False
A_all_21,r2,cutoff_within_strategy,Conservative,Mean,Q3,10,-0.029080750855621052,-0.025553846305153505,0.04175180195116863,-0.05360382097999765,-0.005890349324161213,10.0,exact,0.083984375,7,3,0,0.419921875,False
A_all_21,r2,cutoff_within_strategy,Conservative,Mean,Q3+IQR/2,10,-0.060668481983678434,-0.048588643452263824,0.04678065572086195,-0.08939165104558115,-0.034819774703267456,0.0,exact,0.001953125,10,0,0,0.017578125,True
A_all_21,r2,cutoff_within_strategy,Conservative,Q3,Q3+IQR/2,10,-0.031587731128057385,-0.04470327352059994,0.031717254702567255,-0.04910347436813664,-0.012375027264656219,6.0,exact,0.02734375,7,3,0,0.1640625,False
A_all_21,r2,cutoff_within_strategy,Balanced,Mean,Q3,10,-0.006009212253092455,-0.01079309103356818,0.025661828146964646,-0.020461971070014632,0.009689566614037573,21.0,exact,0.556640625,7,3,0,1.0,False
A_all_21,r2,cutoff_within_strategy,Balanced,Mean,Q3+IQR/2,10,0.009834509318480223,0.004329894383897692,0.05451993926330709,-0.0223330181163837,0.04135727141044884,18.0,exact,0.375,4,6,0,1.0,False
A_all_21,r2,cutoff_within_strategy,Balanced,Q3,Q3+IQR/2,10,0.015843721571572676,0.006440022614426721,0.04263233222016034,-0.008417364103596139,0.04159896468305128,21.0,exact,0.556640625,4,6,0,1.0,False
A_all_21,r2,cutoff_within_strategy,Aggressive,Mean,Q3,10,0.19088159217159759,0.1797432875639542,0.20772929609641258,0.07332281747705507,0.31340895606307223,5.0,exact,0.01953125,2,8,0,0.15625,False
