feature_set,metric,model_a,model_b,model_a_mean,model_b_mean,percent_change_a_vs_b,n_pairs,mean_difference_a_minus_b,median_difference_a_minus_b,sd_difference,ci95_low,ci95_high,wilcoxon_statistic,wilcoxon_method,p_unadjusted,negative_difference_count,positive_difference_count,ties,p_holm,reject_holm_0_05
A_all_21,r2,Two-stage TL | training-selected,ANN,0.9201464955534954,0.9511032468375389,-3.2548255288767134,10,-0.03095675128404344,-0.022420709903679226,0.026409918518747143,-0.0468440070763598,-0.016220959489114898,0.0,exact,0.001953125,10,0,0,0.0078125,True
A_all_21,mape_pct,Two-stage TL | training-selected,ANN,14.812288489628191,12.408685576491205,19.37032652105164,10,2.403602913136987,2.6220342471705838,3.1441101120511092,0.5832435976701184,4.24823708304526,8.0,exact,0.048828125,3,7,0,0.146484375,False
A_all_21,rmse,Two-stage TL | training-selected,ANN,28235.223926902538,22535.180056928883,25.293979704506796,10,5700.043869973651,4024.4623377963853,4490.817140619144,3178.8027987675146,8429.445342226702,0.0,exact,0.001953125,0,10,0,0.0078125,True
A_all_21,rmse_q3,Two-stage TL | training-selected,ANN,46984.239524948855,36683.00795405816,28.08175268449079,10,10301.231570890703,8793.916640206382,9047.04213864703,5317.959164339531,15837.930299093423,1.0,exact,0.00390625,1,9,0,0.01171875,True
A_all_21,rmse_q3_iqr2,Two-stage TL | training-selected,ANN,55808.01937520986,44127.65835573785,26.46947845115654,10,11680.361019472015,10205.11187008513,10821.98048713198,5540.308211278631,18181.716058145248,1.0,exact,0.00390625,1,9,0,0.015625,True
A_all_21,r2,Two-stage TL | training-selected,CatBoost,0.9201464955534954,0.8835206581142012,4.145442113087525,10,0.03662583743929424,0.023521272415917005,0.0740937261590209,-0.005200615420718656,0.08202750283761223,14.0,exact,0.193359375,3,7,0,0.193359375,False
A_all_21,mape_pct,Two-stage TL | training-selected,CatBoost,14.812288489628191,14.748889431345594,0.42985648904422513,10,0.06339905828259536,-0.6645171352850099,4.1456154861158625,-2.247454972808941,2.4903851729868363,25.0,exact,0.845703125,7,3,0,0.845703125,False
A_all_21,rmse,Two-stage TL | training-selected,CatBoost,28235.223926902538,35246.8321348096,-19.892874857773197,10,-7011.608207907062,-5218.507488410392,12533.118787969994,-14577.247204459363,37.50074363127001,13.0,exact,0.16015625,7,3,0,0.16015625,False
A_all_21,rmse_q3,Two-stage TL | training-selected,CatBoost,46984.239524948855,60927.48864266057,-22.884989071991473,10,-13943.249117711714,-8647.63570644199,23922.336862204247,-28841.07311252971,-2.957881653128435,13.0,exact,0.16015625,7,3,0,0.16015625,False
A_all_21,rmse_q3_iqr2,Two-stage TL | training-selected,CatBoost,55808.01937520986,73876.56232740215,-24.457747332796973,10,-18068.542952192296,-11985.183382145398,30722.53666573438,-36300.513021730694,-548.6404296412002,12.0,exact,0.130859375,7,3,0,0.130859375,False
A_all_21,r2,Two-stage TL | training-selected,Monotonic GBM,0.9201464955534954,0.8039737933143221,14.449812071642285,10,0.11617270223917335,0.11101129407952598,0.07035361960339011,0.07442705554270569,0.15683041009722976,1.0,exact,0.00390625,1,9,0,0.01171875,True
A_all_21,mape_pct,Two-stage TL | training-selected,Monotonic GBM,14.812288489628191,20.957658715070142,-29.32278986403651,10,-6.145370225441949,-6.6657268180808575,4.4646713628180725,-8.526654084986474,-3.2846497107676766,2.0,exact,0.005859375,9,1,0,0.0234375,True
A_all_21,rmse,Two-stage TL | training-selected,Monotonic GBM,28235.223926902538,45792.02702778501,-38.34030559562173,10,-17556.80310088247,-17546.664219629623,10908.471726877639,-24235.874731639033,-11247.103319510243,1.0,exact,0.00390625,9,1,0,0.01171875,True
A_all_21,rmse_q3,Two-stage TL | training-selected,Monotonic GBM,46984.239524948855,74961.06191183194,-37.32180637967616,10,-27976.82238688309,-27105.67645753397,20401.874373000832,-40785.50000138257,-16254.08499853759,0.0,exact,0.001953125,10,0,0,0.0078125,True
A_all_21,rmse_q3_iqr2,Two-stage TL | training-selected,Monotonic GBM,55808.01937520986,89520.37493044998,-37.65886322687083,10,-33712.35555524012,-32433.61911951198,26987.449299650747,-50145.392784008254,-18627.2282400821,1.0,exact,0.00390625,9,1,0,0.015625,True
A_all_21,r2,Two-stage TL | training-selected,XGBoost,0.9201464955534954,0.8577213730281933,7.278018770234161,10,0.062425122525302065,0.0747482505456088,0.06028558148246555,0.026114545770050273,0.09640163094022462,4.0,exact,0.013671875,2,8,0,0.02734375,True
A_all_21,mape_pct,Two-stage TL | training-selected,XGBoost,14.812288489628191,16.247468890504415,-8.833255263008953,10,-1.4351804008762197,-1.773827083006375,3.75857465337242,-3.5378976588832973,0.8579269130562058,15.0,exact,0.232421875,8,2,0,0.46484375,False
A_all_21,rmse,Two-stage TL | training-selected,XGBoost,28235.223926902538,39241.725631784255,-28.047955403793157,10,-11006.501704881719,-11600.525013373554,10630.455348159527,-17103.82949827948,-4659.273245123472,4.0,exact,0.013671875,8,2,0,0.02734375,True
