seed,split_id,feature_set,train_index_hash,test_index_hash,cutoff_rule,training_derived_cutoff_value,selected_hyperparameters,cv_f1,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count,elapsed_seconds,source_task
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,Mean,154018.6739051335,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8759801158202224,0.8627450980392157,0.9166666666666666,0.8888888888888888,178,115,78,48,75,51,0.2509064999999282,A_all_21_seed42
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,Q3,190358.76024,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8703546099290781,0.7586206896551724,0.9166666666666666,0.8301886792452831,219,74,102,24,97,29,0.2648070999998708,A_all_21_seed42
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,Q3+IQR/2,242028.252,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.8319257336684106,0.8333333333333334,0.7142857142857143,0.7692307692307693,249,44,112,14,114,12,0.2630005000000892,A_all_21_seed42
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,Mean,148856.99495687414,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8959722535909638,0.9056603773584906,0.9411764705882352,0.9230769230769232,168,125,75,51,73,53,0.2269946000001255,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,Q3,174395.51352,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8648148148148148,0.9705882352941176,0.825,0.8918918918918919,219,74,86,40,92,34,0.2416038999999727,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,Q3+IQR/2,219972.29544,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.901190476190476,0.9047619047619048,0.95,0.926829268292683,242,51,106,20,105,21,0.2126509999998234,A_all_21_seed43
44,seed_44,A_all_21,75589881aa0c3e0b30e3094641de5fe49e0d32ddd2c9d2f75fedbdc6cc1c98ed,0f5851ecd7b0628f755201e1656affe8c4cb47f695749ce25470856e30086061,Mean,148192.40824315403,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.9316116690578672,0.7333333333333333,0.8627450980392157,0.7927927927927928,167,126,75,51,66,60,0.3067504000000554,A_all_21_seed44
44,seed_44,A_all_21,75589881aa0c3e0b30e3094641de5fe49e0d32ddd2c9d2f75fedbdc6cc1c98ed,0f5851ecd7b0628f755201e1656affe8c4cb47f695749ce25470856e30086061,Q3,180744.96168,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8448979591836735,0.925925925925926,0.8064516129032258,0.8620689655172413,219,74,95,31,99,27,0.2800619999998162,A_all_21_seed44
44,seed_44,A_all_21,75589881aa0c3e0b30e3094641de5fe49e0d32ddd2c9d2f75fedbdc6cc1c98ed,0f5851ecd7b0628f755201e1656affe8c4cb47f695749ce25470856e30086061,Q3+IQR/2,229496.46768,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.9194060419866872,1.0,0.9090909090909092,0.9523809523809524,248,45,104,22,106,20,0.2835644000001593,A_all_21_seed44
45,seed_45,A_all_21,8c248bccf6046cb28dc3e4cc090c1fc5112a90eeed204b1e716582c31ddb979d,e4301a9888bf200397af19614edf982f23e0cbd8f7352817d893e63912eb0be0,Mean,140511.27038840996,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.916138125440451,0.9242424242424242,0.9242424242424242,0.9242424242424242,162,131,60,66,60,66,0.2265750999999909,A_all_21_seed45
