cutoff_rule,variable,n_splits,mean,sd,minimum,maximum
Mean,training_derived_cutoff_value,10,147584.4217655963,3777.474537649604,140511.27038840996,154018.6739051335
Mean,train_low_count,10,168.6,4.695151163109069,162.0,178.0
Mean,train_high_count,10,124.4,4.695151163109069,115.0,131.0
Mean,test_true_low_count,10,71.9,7.06242010770938,59.0,78.0
Mean,test_true_high_count,10,54.1,7.06242010770938,48.0,67.0
Mean,test_n_at_or_above_train_q3,10,34.2,6.303438215238834,24.0,43.0
Mean,test_n_at_or_above_train_q3_iqr2,10,22.2,4.638007234913623,14.0,32.0
Q3,training_derived_cutoff_value,10,179321.110992,5983.395427434571,171813.564,190358.76024
Q3,train_low_count,10,219.0,0.0,219.0,219.0
Q3,train_high_count,10,74.0,0.0,74.0,74.0
Q3,test_true_low_count,10,91.8,6.303438215238834,83.0,102.0
Q3,test_true_high_count,10,34.2,6.303438215238834,24.0,43.0
Q3,test_n_at_or_above_train_q3,10,34.2,6.303438215238834,24.0,43.0
Q3,test_n_at_or_above_train_q3_iqr2,10,22.2,4.638007234913623,14.0,32.0
Q3+IQR/2,training_derived_cutoff_value,10,226413.71200800003,8466.760267867634,215802.75852000003,242028.252
Q3+IQR/2,train_low_count,10,247.6,3.1692971530679235,242.0,253.0
Q3+IQR/2,train_high_count,10,45.4,3.1692971530679235,40.0,51.0
Q3+IQR/2,test_true_low_count,10,103.8,4.638007234913623,94.0,112.0
Q3+IQR/2,test_true_high_count,10,22.2,4.638007234913623,14.0,32.0
Q3+IQR/2,test_n_at_or_above_train_q3,10,34.2,6.303438215238834,24.0,43.0
Q3+IQR/2,test_n_at_or_above_train_q3_iqr2,10,22.2,4.638007234913623,14.0,32.0
