seed,split_id,feature_set,train_index_hash,test_index_hash,record_type,fold,cutoff_rule,transfer_strategy,fold_training_cutoff_value,base_epochs,high_epochs,frozen_layers,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,selection_rank
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Mean,Conservative,158856.33575342468,40.0,40.0,"[""dense_3"", ""dense_4""]",0.7529117030898453,21.378685497284266,57822.814383401885,127290.01589531625,177217.81512996278,29431.556486752746,15248.05797409339,-15638.539321650696,0.5986394557823129,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Mean,Balanced,158856.33575342468,40.0,15.0,"[""dense_3""]",0.9176024024169595,20.254414580534306,33391.075902356104,56444.71697805897,64834.49123232296,21588.53333509864,13785.848321123267,-4696.74609966882,0.5714285714285714,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Mean,Aggressive,158856.33575342468,40.0,5.0,[],0.4635434802811288,22.703854698949886,85200.15835726299,194126.29247056204,275212.9350216802,36234.99317114212,15417.960149775594,-23042.079166512827,0.5986394557823129,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3,Conservative,202870.32084000003,40.0,40.0,"[""dense_3"", ""dense_4""]",0.8146727056160729,18.91026154002399,50077.52204587025,109725.88566739117,153280.1872540759,25496.379338388408,12407.59301731699,-12070.902861299399,0.5986394557823129,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3,Balanced,202870.32084000003,40.0,1.0,"[""dense_3""]",0.8996282806295147,18.782585575278844,36853.50683578595,67518.01566049959,89202.98446965138,22033.193501927242,12211.903151044418,-4651.446261207313,0.564625850340136,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3,Aggressive,202870.32084000003,40.0,2.0,[],0.3974873093914433,21.0642443969009,90293.44798218964,206828.27116533057,295526.00135371723,35916.193856591155,12407.59301731699,-22513.8486366464,0.5986394557823129,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3+IQR/2,Conservative,259548.34968000004,1.0,40.0,"[""dense_3"", ""dense_4""]",0.03888979661651748,111.3929785972397,114040.66260611347,235067.1172361084,326435.9937533906,73529.90722749202,53377.664292335074,-4749.725746788896,0.40816326530612246,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3+IQR/2,Balanced,259548.34968000004,1.0,4.0,"[""dense_3""]",0.3489658178993509,110.8007382869508,93858.80787661333,180035.45878574759,243137.15790798396,68867.83163658321,53377.664292335074,-87.65015588007189,0.40816326530612246,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3+IQR/2,Aggressive,259548.34968000004,1.0,2.0,[],0.21040796760820824,111.1222783680049,103365.23985556945,206447.42416691603,283401.54529685003,71399.60353253392,53377.664292335074,-2619.4220518307857,0.40816326530612246,27.0,13.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Mean,Conservative,149213.92132111645,6.0,40.0,"[""dense_3"", ""dense_4""]",-0.4466851843848998,75.81116429497531,131857.6681426618,229112.13999487602,266583.88130179996,91309.24242730635,70753.2351902181,-77950.09300962073,0.7876712328767124,42.0,29.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Mean,Balanced,149213.92132111645,6.0,32.0,"[""dense_3""]",0.40776809877704356,66.50811162598531,84365.3811484755,129248.8433124973,149082.39549844048,60975.25555821821,49478.50853353678,-41419.70130899887,0.7191780821917808,42.0,29.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Mean,Aggressive,149213.92132111645,6.0,9.0,[],0.3013943229017263,67.07911430612559,91629.31280239508,144390.0692955425,167985.63890273427,63515.849900470756,48952.123615804725,-42017.22660749174,0.7123287671232876,42.0,29.0,
42,seed_42,A_all_21,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Q3,Conservative,180497.8242,40.0,40.0,"[""dense_3"", ""dense_4""]",0.5674428678060891,22.346666348879346,72100.80487075269,131800.00416894432,156811.20051852913,39149.07048636626,15617.1755134413,-31556.15149943148,0.6712328767123288,42.0,29.0,
