seed,split_id,feature_set,train_index_hash,test_index_hash,model_family,model,cutoff_rule,training_derived_cutoff_value,transfer_strategy,selected_hyperparameters,frozen_layers,learning_rate,training_epochs,run_status,elapsed_seconds,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count
46,seed_46,A_all_21,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,single,CatBoost,,,,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.1}",[],,{},complete,47.148918200000026,0.7415582754824754,12.495134053093372,57583.61584634653,116919.32747116334,137214.24433597596,22123.60082153852,7881.094206861941,-8786.022362045771,0.42857142857142855,29,21,,,,,,,,,
46,seed_46,A_all_21,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,single,XGBoost,,,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 600}",[],,{},complete,8.412750799999685,0.7659645148329993,14.012001622181918,54797.21323755863,109513.75624930741,127645.77543376134,23219.569023032305,8051.702048125009,-6337.599021311083,0.4523809523809524,29,21,,,,,,,,,
46,seed_46,A_all_21,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,single,Monotonic GBM,,,,"{""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300}",[],,{},complete,2.0476007000006575,0.7103085822376958,17.08408657551088,60965.68130392153,120455.3719801372,141038.41625195905,27463.041029222168,11624.325876221905,-4734.173234239623,0.46825396825396826,29,21,,,,,,,,,
46,seed_46,A_all_21,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,single,ANN,,,,"{""activation"": ""relu"", ""batch_size"": 64, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.01}",[],0.01,"{""final_iterations"": 72}",complete,25.42073049999999,0.9618472849700347,13.180871879754369,22124.85031861796,39472.057644665845,45730.2236890144,13421.10860236137,8914.012062473252,-4063.3978397134833,0.5,29,21,,,,,,,,,
46,seed_46,A_all_21,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,two_stage_no_tl,"Two-stage, no transfer",Mean,148157.26402827346,,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""svm"": {""C"": 100, ""gamma"": ""auto"", ""kernel"": ""rbf""}}",[],0.001,"{""high"": 48, ""low"": 55}",complete,26.552865499999825,0.9334020167160915,12.912017701821652,29231.301737476784,49716.40125853249,56858.734081633076,17980.101739745747,11452.018273561123,-5524.701383530372,0.46825396825396826,29,21,0.88,0.8627450980392157,0.8712871287128713,167.0,126.0,75.0,51.0,76.0,50.0
46,seed_46,A_all_21,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,two_stage_tl_exploratory,"Two-stage, transfer",Mean,148157.26402827346,Conservative,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.001, ""trainable_hidden"": 0}, ""svm"": {""C"": 100, ""gamma"": ""auto"", ""kernel"": ""rbf""}}","[""dense_3"", ""dense_4""]",0.001,"{""high"": 86, ""low"": 55}",complete,17.909588700000313,0.7711192656287288,16.439647149666733,54190.38493768459,103473.28250417006,120631.82333002362,27598.610360325958,13981.757589490575,-5752.012221020255,0.4126984126984127,29,21,0.88,0.8627450980392157,0.8712871287128713,167.0,126.0,75.0,51.0,76.0,50.0
46,seed_46,A_all_21,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,two_stage_tl_exploratory,"Two-stage, transfer",Mean,148157.26402827346,Balanced,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.01, ""trainable_hidden"": 1}, ""svm"": {""C"": 100, ""gamma"": ""auto"", ""kernel"": ""rbf""}}","[""dense_3""]",0.01,"{""high"": 14, ""low"": 55}",complete,6.491558700000496,0.9338716115507828,12.577916517083185,29128.06173682624,50055.58417523883,58010.053592669654,17323.87340430899,10057.422279073042,-4062.8854353707825,0.4603174603174603,29,21,0.88,0.8627450980392157,0.8712871287128713,167.0,126.0,75.0,51.0,76.0,50.0
46,seed_46,A_all_21,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,two_stage_tl_exploratory,"Two-stage, transfer",Mean,148157.26402827346,Aggressive,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.05, ""trainable_hidden"": ""all""}, ""svm"": {""C"": 100, ""gamma"": ""auto"", ""kernel"": ""rbf""}}",[],0.05,"{""high"": 77, ""low"": 55}",complete,17.511840399999528,0.9365893751743911,12.72185907600655,28523.225353737336,48125.96927008631,54822.43084666826,17608.522430204215,11005.707564696771,-7402.47499285637,0.5079365079365079,29,21,0.88,0.8627450980392157,0.8712871287128713,167.0,126.0,75.0,51.0,76.0,50.0
46,seed_46,A_all_21,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,two_stage_no_tl,"Two-stage, no transfer",Q3,182425.19112,,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""svm"": {""C"": 10, ""gamma"": ""auto"", ""kernel"": ""linear""}}",[],0.001,"{""high"": 92, ""low"": 33}",complete,28.223685599999953,0.9355822350549303,14.190907243786699,28748.84775985184,38403.42427826497,42585.828794048895,18132.439858663864,12283.560607611238,-901.0824480991758,0.42857142857142855,29,21,0.8846153846153846,0.7931034482758621,0.8363636363636363,219.0,74.0,97.0,29.0,100.0,26.0
46,seed_46,A_all_21,f9cfd6983a0b656d566c45e49a43f7fefb1892ddb865b6160cc1c399ba414ea0,366561bc4e5c83c690827e0e5ba276acd41e534e0619a40d66447ecee81fdebb,two_stage_tl_exploratory,"Two-stage, transfer",Q3,182425.19112,Conservative,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.001, ""trainable_hidden"": 0}, ""svm"": {""C"": 10, ""gamma"": ""auto"", ""kernel"": ""linear""}}","[""dense_3"", ""dense_4""]",0.001,"{""high"": 29, ""low"": 33}",complete,7.900375500000337,0.8355691502976789,14.6437769189781,45931.35604332694,89622.3411514649,104184.25750614305,22777.274760408905,12244.514295053414,-8056.734957590471,0.4444444444444444,29,21,0.8846153846153846,0.7931034482758621,0.8363636363636363,219.0,74.0,97.0,29.0,100.0,26.0
