seed,split_id,feature_set,train_index_hash,test_index_hash,record_type,fold,cutoff_rule,transfer_strategy,fold_training_cutoff_value,base_epochs,high_epochs,frozen_layers,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,selection_rank
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,0,Mean,Conservative,140871.19882114936,69.0,200.0,"[""dense_3"", ""dense_4""]",0.5352967044245984,27.238926127102165,70083.13006906834,98478.4686709915,126858.7450729439,38410.00800523198,25824.57191494426,-2176.3022991672337,0.45918367346938777,43.0,24.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,0,Mean,Balanced,140871.19882114936,69.0,20.0,"[""dense_3""]",0.4649179095424567,25.253044635732557,75203.11353763285,108843.17153089006,143310.81903055543,36505.233547612894,20378.597570049074,-5526.752762915453,0.5306122448979592,43.0,24.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,0,Mean,Aggressive,140871.19882114936,69.0,16.0,[],0.5145294748412088,26.078690648626797,71631.99514432323,102694.6455271646,134939.12200756566,37147.463373620245,20084.83785529484,-5259.042197402216,0.5408163265306123,43.0,24.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,0,Q3,Conservative,161294.09544,43.0,200.0,"[""dense_3"", ""dense_4""]",0.6177264132480996,27.313471284286265,63564.22549566526,87893.70263053926,113257.4096136161,35751.77459300129,22142.37751270066,-7397.521033609248,0.6020408163265306,43.0,24.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,0,Q3,Balanced,161294.09544,43.0,1.0,"[""dense_3""]",0.5946961779782978,31.999054349652916,65450.95134883872,84824.19283634896,104509.30673762817,43124.14929113861,25929.260062633926,5910.530636448548,0.5816326530612245,43.0,24.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,0,Q3,Aggressive,161294.09544,43.0,1.0,[],0.5363135533463423,34.377269174813776,70006.4112433027,88782.41741615614,107197.03205515833,46717.400818076785,25929.260062633926,13697.035210524497,0.5714285714285714,43.0,24.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,0,Q3+IQR/2,Conservative,201502.21662000002,27.0,200.0,"[""dense_3"", ""dense_4""]",0.6248848170858099,28.520807776630804,62966.265361977836,88343.1699327119,112754.95994732039,37069.67631128372,19874.90374363381,-3930.093793184275,0.5510204081632653,43.0,24.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,0,Q3+IQR/2,Balanced,201502.21662000002,27.0,15.0,"[""dense_3""]",0.624471001331065,28.151918230472806,63000.98703095333,89654.59867925261,112604.95284977338,36631.40520726154,20754.072208552396,-7455.353893817387,0.5816326530612245,43.0,24.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,0,Q3+IQR/2,Aggressive,201502.21662000002,27.0,2.0,[],0.17267406663758145,30.90319973438828,93511.26518079749,137964.61657184237,182875.37965724713,48242.11057199801,21586.38633369428,-36405.68315398398,0.7040816326530612,43.0,24.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,1,Mean,Conservative,150117.08134153846,130.0,200.0,"[""dense_3"", ""dense_4""]",0.777534519299371,23.435620639052154,55689.52037955493,96259.12691150027,110760.91389735202,33879.069219575904,15826.100848687085,-8058.997069871776,0.5510204081632653,23.0,17.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,1,Mean,Balanced,150117.08134153846,130.0,29.0,"[""dense_3""]",0.8756207282708341,20.52281813996321,41640.52210186002,65660.95460855406,73848.53605522221,25810.645660717222,14757.990736664236,1490.091371108731,0.5408163265306123,23.0,17.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,1,Mean,Aggressive,150117.08134153846,130.0,14.0,[],0.7113689174627564,23.55555252313591,63432.7749383881,115705.03766505436,133049.7304812299,35450.41559458576,15363.798103927875,-4678.7458967661005,0.5510204081632653,23.0,17.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,1,Q3,Conservative,179135.38116000002,26.0,200.0,"[""dense_3"", ""dense_4""]",0.8146828533500832,24.849733223100742,50827.64216422496,94235.66726428026,102431.67069739097,29306.92158815497,17393.229336783443,-2038.911384861737,0.40816326530612246,23.0,17.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,1,Q3,Balanced,179135.38116000002,26.0,154.0,"[""dense_3""]",0.8061050091428148,23.524080273981028,51990.67502456187,98279.81807493583,111736.08337972983,26817.769640180923,16340.136206144598,3103.1946916274746,0.4387755102040816,23.0,17.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,1,Q3,Aggressive,179135.38116000002,26.0,10.0,[],0.7242009786404476,25.924024216198323,62006.686152736904,119213.06860023481,131631.30891444918,32936.58528449055,17022.1248474217,-349.0843271758762,0.37755102040816324,23.0,17.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,1,Q3+IQR/2,Conservative,225068.67990000002,15.0,185.0,"[""dense_3"", ""dense_4""]",0.8847099461541025,27.618428672879443,40090.18703648463,67929.44282077123,76771.6669146993,25323.753751230513,14507.052383153714,1284.1324411886305,0.3673469387755102,23.0,17.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,1,Q3+IQR/2,Balanced,225068.67990000002,15.0,11.0,"[""dense_3""]",0.8614631183883203,27.859345015834318,43946.55794805256,77798.5368637604,88542.04133606602,27033.85794298462,15180.003776814716,-2924.493323077849,0.37755102040816324,23.0,17.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,1,Q3+IQR/2,Aggressive,225068.67990000002,15.0,11.0,[],0.8228268995202725,28.118520348592686,49698.245151453026,88173.44412299141,100843.35329543447,27385.774169365097,14145.302686201423,-1151.0594480815512,0.3673469387755102,23.0,17.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,2,Mean,Conservative,153776.1185316537,47.0,122.0,"[""dense_3"", ""dense_4""]",0.627633011396002,34.11916674116965,62638.466420452685,126018.57374005522,164222.33160746083,34212.64217936788,21739.836798182296,-3511.3456847112975,0.5154639175257731,18.0,10.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,2,Mean,Balanced,153776.1185316537,47.0,198.0,"[""dense_3""]",0.77079754996888,31.634903091153667,49143.39523698515,87554.56494839057,108664.94746696178,29596.205305863383,19333.42386913202,1298.1477218806797,0.5257731958762887,18.0,10.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,2,Mean,Aggressive,153776.1185316537,47.0,1.0,[],0.37274930900781744,33.03256289975518,81297.29662411372,182832.82286792016,239311.9030630492,38465.575157728636,19495.56470624663,-24813.019799873095,0.6288659793814433,18.0,10.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,2,Q3,Conservative,186611.43762,43.0,155.0,"[""dense_3"", ""dense_4""]",0.7253719974256592,28.115167908598938,53793.26926347224,105363.75962079619,135839.45144806636,27732.576359497987,15053.277376158207,-911.8790758417196,0.5051546391752577,18.0,10.0,
49,seed_49,B_no_component_costs,5fdd2120bce3bbca42504784483b70fde3848531e4c5d707519cd971a00b2765,d3be780cdc03137d1d5656de7fd3069a46fb445bca278aae3dadc5b0859735a8,fold,2,Q3,Balanced,186611.43762,43.0,60.0,"[""dense_3""]",0.7159346114546246,28.682598761628974,54709.74500515209,86589.60582504745,107833.61994629985,28104.19361931473,14977.225083492813,898.9376014206017,0.5257731958762887,18.0,10.0,
