seed,split_id,feature_set,train_index_hash,test_index_hash,model_family,model,cutoff_rule,training_derived_cutoff_value,transfer_strategy,selected_hyperparameters,frozen_layers,learning_rate,training_epochs,run_status,elapsed_seconds,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count
50,seed_50,B_no_component_costs,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,single,CatBoost,,,,"{""depth"": 6, ""iterations"": 600, ""learning_rate"": 0.03}",[],,{},complete,40.465810199999396,0.7687911873657473,29.652126198486883,57089.557015193575,100031.62343949793,127974.31858098951,30388.47822716718,16554.613105904056,-11717.509450841892,0.5158730158730159,37,22,,,,,,,,,
50,seed_50,B_no_component_costs,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,single,XGBoost,,,,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 600}",[],,{},complete,7.9541080999997575,0.8509080377199698,28.993834117997558,45843.904251844346,76507.53256862912,96002.12040634049,28641.572713447425,17505.840631875,-7347.133625004969,0.5238095238095238,37,22,,,,,,,,,
50,seed_50,B_no_component_costs,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,single,Monotonic GBM,,,,"{""learning_rate"": 0.03, ""max_depth"": 7, ""n_estimators"": 300}",[],,{},complete,2.0509109000004173,0.767896601164077,36.3515040254556,57199.89498980664,94783.11489962733,119740.43797332964,33208.36592095016,19360.45145637612,-7685.300155264605,0.48412698412698413,37,22,,,,,,,,,
50,seed_50,B_no_component_costs,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,single,ANN,,,,"{""activation"": ""relu"", ""batch_size"": 64, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.01}",[],0.01,"{""final_iterations"": 290}",complete,29.828196299999945,0.8221196716983338,28.861874591564074,50074.70997244144,85982.5529846249,108106.52340623307,29719.058869101107,16012.028259648905,-1125.1106499175612,0.48412698412698413,37,22,,,,,,,,,
50,seed_50,B_no_component_costs,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,two_stage_no_tl,"Two-stage, no transfer",Mean,146587.48120233486,,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}",[],0.001,"{""high"": 200, ""low"": 52}",complete,52.591430299999956,0.8452118455704245,28.29798664372447,46711.449328545226,80354.47335527069,102475.70024527963,27933.915143289505,17005.89609679293,-528.2296231267846,0.4523809523809524,37,22,0.9019607843137255,0.9387755102040817,0.92,165.0,128.0,77.0,49.0,75.0,51.0
50,seed_50,B_no_component_costs,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,two_stage_tl_exploratory,"Two-stage, transfer",Mean,146587.48120233486,Conservative,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.001, ""trainable_hidden"": 0}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}","[""dense_3"", ""dense_4""]",0.001,"{""high"": 184, ""low"": 52}",complete,35.70449180000014,0.744082291841903,30.297102894868434,60062.67222649904,103213.21136527855,131359.80650548983,32825.447844469054,19177.00645551477,-7502.763547833244,0.42063492063492064,37,22,0.9019607843137255,0.9387755102040817,0.92,165.0,128.0,77.0,49.0,75.0,51.0
50,seed_50,B_no_component_costs,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,two_stage_tl_exploratory,"Two-stage, transfer",Mean,146587.48120233486,Balanced,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.01, ""trainable_hidden"": 1}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}","[""dense_3""]",0.01,"{""high"": 70, ""low"": 52}",complete,16.59326619999956,0.851273965274137,28.33204793634112,45787.610627689995,77989.90627650733,99411.5557658878,27433.4077199141,16794.20796474784,221.70436087124668,0.4603174603174603,37,22,0.9019607843137255,0.9387755102040817,0.92,165.0,128.0,77.0,49.0,75.0,51.0
50,seed_50,B_no_component_costs,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,two_stage_tl_exploratory,"Two-stage, transfer",Mean,146587.48120233486,Aggressive,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.05, ""trainable_hidden"": ""all""}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}",[],0.05,"{""high"": 67, ""low"": 52}",complete,16.006813099999817,0.8114787697411806,28.933462822856388,51550.70559686962,89260.66919468266,113564.3866016279,29102.13137511089,17484.17052542094,2205.8753013031583,0.46825396825396826,37,22,0.9019607843137255,0.9387755102040817,0.92,165.0,128.0,77.0,49.0,75.0,51.0
50,seed_50,B_no_component_costs,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,two_stage_no_tl,"Two-stage, no transfer",Q3,177010.71696000002,,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}",[],0.001,"{""high"": 13, ""low"": 34}",complete,17.779686299999412,0.7336608444697477,32.17964490712021,61273.40156020812,106235.0828582546,132128.7675731422,33467.60310018064,16787.401510619522,-8096.911466107008,0.4523809523809524,37,22,0.9666666666666667,0.7837837837837838,0.8656716417910447,219.0,74.0,89.0,37.0,96.0,30.0
50,seed_50,B_no_component_costs,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,two_stage_tl_exploratory,"Two-stage, transfer",Q3,177010.71696000002,Conservative,"{""ann"": {""activation"": ""relu"", ""batch_size"": 32, ""layers"": [128, 64], ""lr"": 0.001}, ""strategy"": {""lr"": 0.001, ""trainable_hidden"": 0}, ""svm"": {""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}}","[""dense_3"", ""dense_4""]",0.001,"{""high"": 47, ""low"": 34}",complete,12.590379000000212,0.7695372464808743,31.13521466183185,56997.37497785464,99102.39758679351,124659.45483284582,31030.764192656607,15609.539700578694,-9108.280940422635,0.4523809523809524,37,22,0.9666666666666667,0.7837837837837838,0.8656716417910447,219.0,74.0,89.0,37.0,96.0,30.0
