seed,split_id,feature_set,train_index_hash,test_index_hash,record_type,fold,cutoff_rule,transfer_strategy,fold_training_cutoff_value,base_epochs,high_epochs,frozen_layers,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,selection_rank
42,seed_42,C_physical_quantity,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Mean,Conservative,151354.48145723078,33.0,200.0,"[""dense_3"", ""dense_4""]",0.5251519552262458,37.262027919254884,89355.81164526429,156737.5693163667,221158.74136162843,45439.19545774401,26465.836436658778,-9365.536815723395,0.45918367346938777,27.0,13.0,
42,seed_42,C_physical_quantity,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Mean,Balanced,151354.48145723078,33.0,41.0,"[""dense_3""]",0.7759336675233766,34.1128687360429,61380.97459384599,105326.09659132115,144427.20363835274,36823.53457699687,20990.331046378677,-11698.325943781065,0.5204081632653061,27.0,13.0,
42,seed_42,C_physical_quantity,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Mean,Aggressive,151354.48145723078,33.0,56.0,[],0.7313968650273197,35.31600739642307,67204.91181234231,110903.62852734805,153502.28633828598,38895.094343780365,19828.576428425535,-5211.539317556148,0.46938775510204084,27.0,13.0,
42,seed_42,C_physical_quantity,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3,Conservative,186391.97568,49.0,106.0,"[""dense_3"", ""dense_4""]",0.6026232968132526,28.83535060998096,81742.26701272416,148114.1273733045,208792.6599333154,37022.22170439551,16743.93971314971,-10809.95194131508,0.5,27.0,13.0,
42,seed_42,C_physical_quantity,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3,Balanced,186391.97568,49.0,18.0,"[""dense_3""]",0.7742614816050319,28.666292467041345,61609.58906836592,102147.83453155673,139581.2486360011,33158.146713745366,14174.41656252763,-7502.25299122022,0.5204081632653061,27.0,13.0,
42,seed_42,C_physical_quantity,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3,Aggressive,186391.97568,49.0,6.0,[],0.4976583470620748,36.01825463516675,91906.25548175008,144722.9915696635,185828.053933113,48693.000133913636,17440.94892540916,8963.62349142236,0.4489795918367347,27.0,13.0,
42,seed_42,C_physical_quantity,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3+IQR/2,Conservative,235431.62442,36.0,190.0,"[""dense_3"", ""dense_4""]",0.7043797933150446,31.23983351309144,70503.80161625173,124013.65814556243,171314.12519888172,37389.34514079193,16216.403383853365,-8846.44090525362,0.5306122448979592,27.0,13.0,
42,seed_42,C_physical_quantity,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3+IQR/2,Balanced,235431.62442,36.0,3.0,"[""dense_3""]",0.7063692576591396,30.487774758149417,70266.16294652552,122808.62572288625,171400.75301412004,35715.78544811339,16216.403383853365,-12543.93484460288,0.5408163265306123,27.0,13.0,
42,seed_42,C_physical_quantity,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,0,Q3+IQR/2,Aggressive,235431.62442,36.0,13.0,[],0.706601317205108,31.375965459518305,70238.3914047876,117048.155769177,161688.47888137365,36719.06421317625,16216.403383853365,-9016.162856220108,0.5408163265306123,27.0,13.0,
42,seed_42,C_physical_quantity,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,fold,1,Mean,Conservative,158536.77834976473,33.0,200.0,"[""dense_3"", ""dense_4""]",0.804860121329257,25.71685462922295,46792.39189152949,89879.90200708543,102966.47958550282,26829.461368556404,16492.40218481941,-104.9385777664919,0.41836734693877553,19.0,14.0,
